Name,IATA
Joy Air,JR
Air India Regional,CD
MDLR Airlines,9H
Maldivian,Q2
Xpressair,XN
Strategic Airlines,VC
Fuji Dream Airlines,JH
SGA Airlines,5E
Air2there,F8
Avianova (Russia),AO
Parmiss Airlines (IPV),PA
EuropeSky,ES
BRAZIL AIR,GB
Homer Air,MR
Flitestar,GM
PanAm World Airways,WQ
Virginwings,YY
KSY,KY
Buquebus Líneas Aéreas,BQ
SOCHI AIR,CQ
Wizz Air Ukraine,WU
88,47
LCM AIRLINES,LQ
Aero Brazil,BZ
Cambodia Angkor Air (K6),K6
Skyline nepc,D5
THREE,H3
Royal European Airlines,69
Azul,AD
LSM Airlines,PQ
LionXpress,C4
Nik Airways,X1
Genesis,GK
Congo Express,XZ
Fly Dubai,FZ
Domenican Airlines,D1
Air Atlantic,9A
Air Ops,CR
Aereonautica militare,JY
LSM AIRLINES ,YZ
Aero Lloyd (YP),YP
UTair-Express,UR
Huaxia,G5
Zabaykalskii Airlines,ZP
Marysya Airlines,M4
N1,N1
Airlink (SAA),4Z
JobAir,3B
Zuliana de Aviacion,OD
Black Stallion Airways,BZ
German International Air Lines,GM
TrasBrasil,TB
TransBrasil Airlines,TH
China SSS,9C
Nihon.jet,NJ
Transportes Aéreos Nacionales de Selva,TJ
Air Mekong,P8
Harbour Air (Priv),H3
Air Hamburg (AHO),HH
ZABAIKAL AIRLINES,Z6
TransHolding,TI
Yeti Airways,YT
Yellowstone Club Private Shuttle,Y1
Caucasus Airlines,NS
Serbian Airlines,S1
Windward Islands Airways,WM
TransHolding System,YO
CCML Airlines,CB
Air Charter International,SF
Fly Brasil,F1
CB Airways UK ( Interliging Flights ),1F
Fly Colombia ( Interliging Flights ),3F
Trans Pas Air,T6
Himalayan Airlines,HC
Indya Airline Group,G1
Sunwing,WG
Japan Regio,ZX
Norte Lineas Aereas,N0
Austral Brasil,W7
PEGASUS AIRLINES-,H9
AirLiberté,IJ
Camair-co,QC
Aerocontinente (Priv),N6
Sky Regional,RS
TUR Avrupa Hava YollarÄ±,YI
LSM International ,II
Baikotovitchestrian Airlines ,BU
Luchsh Airlines ,L4
Zimbabwean Airlines,Z7
Air Cargo Germany,6U
Mongolian International Air Lines ,7M
Alaniya Airlines,2D
Tway Airlines,TW
Papillon Grand Canyon Helicopters,HI
Jusur airways,JX
NEXT Brasil,XB
AeroWorld ,W4
Cook Island Air,KH
US Africa Airways,E8
GNB Linhas Aereas,GN
Usa Sky Cargo,E1
Hankook Airline,HN
Red Jet America,RR
REDjet,Z7
Hellenic Airways,1H
Red Jet Andes,PT
Red Jet Canada,QY
Red Jet Mexico,4X
Marusya Airways,Y8
Era Alaska,7H
AirRussia,R8
Hankook Air US,H1
NEPC Airlines,D5
Canadian World,10
I-Fly,H5
T.A.T,IJ
Alinord,DN
Pacific Express,VB
VickJet,KT
BVI Airways,XV
Salsa d\\'Haiti,SO
Zambezi Airlines (ZMA),ZJ
Polet Airlines (Priv),YQ
TROPICAL LINHAS AEREAS,T1
12 North,12
Mauritania Airlines International,L6
MAT Airways,6F
Asian Wings Airways,AW
Air Arabia Egypt,E5
Alitalia Cityliner,CT
Orchid Airlines,OI
Asia Wings,Y5
Skywest Australia,XR
Nile Air,NP
Senegal Airlines,DN
Fly 6ix,6I
Starbow Airlines,S9
Copenhagen Express,0X
BusinessAir,8B
SENIC AIRLINES,YR
Sky Wing Pacific,C7
Air Indus,PP
Samurai Airlines,7
AirOne Continental,0
AirOne Polska,U1
Peach Aviation,MM
Aviabus,U1
Michael Airlines,DF
Korongo Airlines,ZC
Indonesia Sky,I5
Pelangi ,9P
Aws express,B0
Southjet,76
Southjet connect,77
Air Cape,KP
Southjet cargo,78
Iberia Express,I2
Interjet (ABC Aerolineas),4O
AirOnix,OG
Nordic Global Airlines,NJ
Scoot,TZ
Starling Airlines Spain,SX
Hi Fly (5K),5K
China Northwest Airlines (WH),WH
Zenith International Airline,ZN
Orbit Airlines Azerbaijan,O1
Air Alps Aviation (A6),A6
Patriot Airways,P4
Vision Airlines (V2),V2
Chicago Express (C8),C8
BQB Lineas Aereas,5Q
Yellowtail,YE
Royal Airways,KG
FlyHigh Airlines Ireland (FH),FH
Aero VIP (2D),2D
Yangon Airways Ltd.,YH
T.J. Air,TJ
SkyWork Airlines ,SX
ValueJet,J7
Maastricht Airlines,W2
CheapFlyingInternational,WL
Aviaexpresscruise,E6
Euro Jet,24
AirOne Atlantic,0
HQ- Business Express,HQ
Royal Southern Airlines.,R1
SOCHI AIR CHATER,Q3
Denim Air ,J7
WestAir,OE
WestAir Airlines,OE
WestAir Airlines ,OE
North Pacific Airlines,NO
Malindo Air,OD
Tramm Airlines,9F
Lina Congo,GC
Flightlink Tanzania,Z9
IzAvia,I8
3 Valleys Airlines,3V
Maryland Air,M1
Insel Air (7I/INC) (Priv),7I
VivaColombia,5Z
Apache Air,ZM
MHS Aviation GmbH,M2
Jettor Airlines,NR
GoDutch,GD
Thai Lion Air,SL
Deutsche Luftverkehrsgesellschaft,DW
National Air Cargo,N8
Eastern Atlantic Virtual Airlines,13
Citilink Indonesia,QG
Gulisano airways,GU
Caribbean Wings,XP
Snowbird Airlines,S8
Kharkiv Airlines,KH
XAIR USA,XA
Air Costa,LB
Global Freightways,F5
XPTO,XP
Malawian Airlines,3W
Air Serbia,JU
Air Lituanica,LT
Rainbow Air (RAI),RN
Rainbow Air Canada,RY
Rainbow Air Polynesia,RX
Rainbow Air Euro,RU
Rainbow Air US,RM
Dobrolet,QD
Spike Airlines,S0
All Argentina,L1
All America,A2
All Asia,L9
All Africa,9A
Regionalia México,N4
All Europe,N9
All Spain,N7
Regional Air Iceland,9N
Voestar,8K
All Colombia,7O
Regionalia Uruguay,2X
Regionalia Venezuela,9X
Regionalia Chile,9J
Vuela Cuba,6C
All Australia,88
Fly Europa,ER
FlyPortugal,PO
Spring Airlines Japan,IJ
Dense Airways,KP
Dense Connection,KZ
Vuola Italia,4S
Island Express Air,1X
All Argentina Express,Z0
Thai Smile Airways,WE
International AirLink,I4
Real Tonga,RT
All America AR,2R
All America CL,1R
SOCHI AIR EXPRESS,Q4
All America BR,1Y
FRA Air,X9
Royal,QN
GREAT LAKES (GX),GX
Volotea Costa Rica,9V
Fly Romania,X5
Eagle Atlantic Airlines,E2
All America CO,0Y
All America MX,0M
FOX Linhas Aereas,FX
Wings of England,EX
Air Kenya (Priv),QP
Via Conectia Airlines,6V
City Airways,E8
Norwegian Long Haul AS,DU
TransNusa Air,M8
Tomp Airlines,ZT
OneJet,J1
Global Airlines,0G
International Flying Service,F4
Air Vistara,UK
TransRussiaAirlines,1E
Severstal Air Company,D2
REXAIR VIRTUEL,RR
WestJet Encore,WR
Air Pegasus,OP
International Europe,9I
V Air,ZV
Naka Nihon Airlines Service,NV
Islands Express,X9
Atlantic Air Services,X7
Boutique Air (Priv),4B
VOLOTEA Airways,V7
Aguilar Connect,3X
ROYAL BRITAIN,7V
INAVIA Internacional,Z5
Liberty Airways,LE
Bassaka airlines,5B
SkyBahamas Airlines,Q7
UVT Aero,UW
Silver Airways (3M),3M
ATA Airlines (Iran),I3
VIA Líneas Aéreas,V1
Palair Macedonia,3D
Palair Macedonia (3D),3D
GermanXL,GX
Fly France,FF
Europe Jet,EX
Deutsche Luftverkehrsgesellschaft (DLT),DW
Atlantic Air Cargo,K3
World Scale Airlines,W3
All America US,AG
BudgetAir,1K
Fly One,F5
Nordica,EE
Dummy,0E
All America BOPY,0P
Air Andaman (2Y),2Y
Jetgo Australia,JG
Air Carnival,2S
Svyaz Rossiya,7R
